--- clean_incomplete_records.py run ---
Thuốc mắt, tai, mũi, họng/Acuvail Allergan 30 ỐNG X 0.4ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Tobramycin 0.3% Traphaco 7ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Top-pirex NAM HÀ 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/NEW V.rohto 13ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/V.rohto Lycee 13ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/V.rohto Vitamin 13ml | thieu: ['duong_dung']
Thuốc tiêm chích và dịch truyền/Bricanyl 0.5mg/ml Astra 1x5 ỐNG | thieu: ['lieu_dung']
Thuốc tiêm chích và dịch truyền/Corora 60mg/ml Amgen | thieu: ['lieu_dung']
Thuốc tiêm chích và dịch truyền/Cerebrolysin 5ml 1x5 | thieu: ['tac_dung_phu']
Thuốc tiêm chích và dịch truyền/Xeomin 100 Units MERZ | thieu: ['huong_dan_su_dung', 'lieu_dung']
Thuốc tiêu hoá và gan mật/ALU P GEL Imexpharm 26 GÓI X 20g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Alumag-s Agimexpharm 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Amebismo Bismuth Subsalicylate HỘP 20 GÓI X 15ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Aquima Merap 20 GÓI X 10ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Atinalox AN Thiên 20 GÓI X 15g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Barudon SUSP Taiguk Pharm 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Biosubtyl DL 1g Davac 25 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Biosubtyl-ii Biopharco 25 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Bolabio Hasan 30 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Camlyhepatinsof Boston 12x5 | thieu: ['tong_so_luong']
Thuốc tiêu hoá và gan mật/Damagel Suspension Kolmar 20 GÓI X 15ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Dizzo AIRX 20mg Reliv 15ml | thieu: ['tac_dung_phu']
Thuốc tiêu hoá và gan mật/Ebysta Merap 20 GÓI X 10ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Enteric 3g Nadyphar 30 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Enterobella Mekophar 25 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Enterogermina 4 Tỷ/ ỐNG 5ml Sanofi 2x10 | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Enterogran Biopharco 20 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Epirosa Adults 5.4ml Lainco 6 TUÝP X 7.5ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Epirosa Enfants 1.8ml Lainco 6 TUÝP X 2.5ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Fleet Enema 133ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Fleet Enema FOR Children 66ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Fortrans 64g Ipsen 4 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Furosan 40mg Hasan 10x10 | thieu: ['tong_so_luong']
Thuốc tiêu hoá và gan mật/Gaviscon 24 GÓI X 10ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Gelactive FORT Hasan 30 GÓI X 10ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Glomoti-m 5/50mg Sachet Abbott 25 GÓI X 1.5g | thieu: ['tac_dung_phu']
Thuốc tiêu hoá và gan mật/Glumarix Mekophar 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Grafort 3g Daewoong 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Grangel Shinpoong 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Gumas DAVI 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Hadugast HẢI Dương 20 GÓI X 3g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Hasanbin 200 Hasan 3x10 | thieu: ['tong_so_luong']
Thuốc tiêu hoá và gan mật/Jukmax NAM HÀ 20 GÓI X 4.5g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/KIM TIỀN THẢO Mekophar 100v | thieu: ['ham_luong']
Thuốc tiêu hoá và gan mật/Lengaza Mebiphar 30 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Lubicid Suspension Medisun 20 GÓI X 30ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Macfor 3000mg Reliv 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Mezapulgit Hataphar 30 GÓI X 3.3g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Micezym 100 Hasan 30 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Mutecium-tn Mekophar 30 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Omeraz 20 Boston 5x4 | thieu: ['tong_so_luong']
Thuốc tiêu hoá và gan mật/Pentasa 1g Ferring 7 LỌ 100ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Pro-acidol PLUS 100g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Pro-acidol PLUS Biopharco 50g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Rectiofar Pharmedic 3ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Rectiofar Pharmedic 40 ỐNG X 5ml | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Somastop AN Thiên 30 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Stoccel P DHG 24 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Sucrapi 1000mg/5ml Apimed 20 GÓI X 5ml | thieu: ['lieu_dung']
Thuốc tiêu hoá và gan mật/Yumangel 1g 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/TRÀ GỪNG THÁI Dương 10 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Trimafort 4097mg Daewoong 20 GÓI - CAM | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Umoxgel Suspension 61.9g Ilyang 30 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Varogel S Shinpoong Daewoo 10ml X 20 GÓI | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Yumangel F 20 GÓI Yuhan | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Zentomyces Mebiphar 30 GÓI X 1g | thieu: ['duong_dung']
Thuốc tiêu hoá và gan mật/Zentozin Mebiphar 30 GÓI X 1g | thieu: ['duong_dung']
Thuốc trị tiểu đường/Acarbose Friulchem 50mg Famar 9x10 | thieu: ['ham_luong']
Thuốc trị tiểu đường/Glumerif 2mg DHG 3x10 | thieu: ['lieu_dung']
Thuốc trị tiểu đường/Easyef 0.005% Daewoong 10ml | thieu: ['duong_dung']
Thuốc trị tiểu đường/Toujeo Solostar 300 U/ml Sanofi 5 CÂY X 1.5ml | thieu: ['lieu_dung']

